"method","algorithm","l1_error","fro_error","max_abs_error","rep","n","R","factor_type","weight_type","p","fiber_l1_max","slice_l1_max","experiment","p_scalar","sample_multiplier","hetero_strength","alpha_profile","normalized_fiber_l1_max","normalized_slice_l1_max","normalized_l1","normalized_fro"
"slice_est","no_thinning",0.0459487048452326,0.000235636238695805,1.50613496051018e-05,9,2e+05,4,"dense_heteroskedastic","balanced","50x50x50",0.00394244295283856,0.0587179239527799,"dense_heteroskedastic",50,1000,1,0.8,9.85610738209639,2.935896197639,1.4530256284575,0.839159228543324
"histogram","no_thinning",0.521259438475901,0.00222326908331322,9.58610249658527e-05,10,2e+05,4,"dense_heteroskedastic","balanced","50x50x50",0.00435367422386893,0.0666264440278347,"dense_heteroskedastic",50,1000,1,0.8,10.8841855596723,3.33132220139173,16.4836707744425,7.53440682702477
"unscaled","no_thinning",0.0546629344518501,0.00030096412611363,2.09344152333553e-05,10,2e+05,4,"dense_heteroskedastic","balanced","50x50x50",0.00435367422386893,0.0666264440278347,"dense_heteroskedastic",50,1000,1,0.8,10.8841855596723,3.33132220139173,1.72859376456334,1.01993329709817
"oracle","no_thinning",0.0474866506278945,0.000251313013591458,2.41647520916906e-05,10,2e+05,4,"dense_heteroskedastic","balanced","50x50x50",0.00435367422386893,0.0666264440278347,"dense_heteroskedastic",50,1000,1,0.8,10.8841855596723,3.33132220139173,1.50165974436811,0.851671306696657
"oracle_cp","no_thinning",0.194651173746476,0.00143035893370041,0.000209995231213866,10,2e+05,4,"dense_heteroskedastic","balanced","50x50x50",0.00435367422386893,0.0666264440278347,"dense_heteroskedastic",50,1000,1,0.8,10.8841855596723,3.33132220139173,6.15541058264033,4.84732423801261
"slice_oracle","no_thinning",0.0471881895997944,0.000261316956268321,2.50347891556362e-05,10,2e+05,4,"dense_heteroskedastic","balanced","50x50x50",0.00435367422386893,0.0666264440278347,"dense_heteroskedastic",50,1000,1,0.8,10.8841855596723,3.33132220139173,1.4922215779522,0.885573534082196
"slice_est","no_thinning",0.0471862951431237,0.000261221202949184,2.50252587213176e-05,10,2e+05,4,"dense_heteroskedastic","balanced","50x50x50",0.00435367422386893,0.0666264440278347,"dense_heteroskedastic",50,1000,1,0.8,10.8841855596723,3.33132220139173,1.49216166997212,0.885249036941103
"histogram","no_thinning",0.530171475062403,0.00223040722102638,0.000126898011198837,11,2e+05,4,"dense_heteroskedastic","balanced","50x50x50",0.00399126860334176,0.0555397687803702,"dense_heteroskedastic",50,1000,1,0.8,9.97817150835441,2.77698843901851,16.7654941164835,7.89430109526583
"unscaled","no_thinning",0.050836315581365,0.000257952481142113,1.2737193646297e-05,11,2e+05,4,"dense_heteroskedastic","balanced","50x50x50",0.00399126860334176,0.0555397687803702,"dense_heteroskedastic",50,1000,1,0.8,9.97817150835441,2.77698843901851,1.6075854508822,0.912996754677669
"oracle","no_thinning",0.045915289608179,0.000227008298386569,1.59523377445366e-05,11,2e+05,4,"dense_heteroskedastic","balanced","50x50x50",0.00399126860334176,0.0555397687803702,"dense_heteroskedastic",50,1000,1,0.8,9.97817150835441,2.77698843901851,1.45196894588106,0.803472945071822
"oracle_cp","no_thinning",0.485028812728866,0.00265201590287831,0.00032504289919128,11,2e+05,4,"dense_heteroskedastic","balanced","50x50x50",0.00399126860334176,0.0555397687803702,"dense_heteroskedastic",50,1000,1,0.8,9.97817150835441,2.77698843901851,15.3379577903049,9.38654244363523
"slice_oracle","no_thinning",0.0467441233353274,0.000237630059883845,1.5849413845671e-05,11,2e+05,4,"dense_heteroskedastic","balanced","50x50x50",0.00399126860334176,0.0555397687803702,"dense_heteroskedastic",50,1000,1,0.8,9.97817150835441,2.77698843901851,1.47817896967461,0.84106759712958
"slice_est","no_thinning",0.0467399069619596,0.000237556610390219,1.58315244549118e-05,11,2e+05,4,"dense_heteroskedastic","balanced","50x50x50",0.00399126860334176,0.0555397687803702,"dense_heteroskedastic",50,1000,1,0.8,9.97817150835441,2.77698843901851,1.47804563624153,0.840807630065042
